t,profit,strategy_name,strategy_params,annual,Cumulative5yearprofit,Cumulative5yearhibzeroprofit,Hlbzeroannual
1460,18176.34672,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.7;0.246,-88916.01505,-427424.6815,,
1460,29368.23672,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.7;0.246,-84469.62505,-266942.9413,,
1460,13508.99182,RogueTrees-SprayTrees,105;0;9;0.0545;0.4;0.7;0.246,-89144.61045,-110880.2012,,
1460,24735.32182,RogueTrees-SprayTrees,105;0;6;0.0545;0.4;0.7;0.246,-84679.68045,49884.91435,,
1460,35961.65182,RogueTrees-SprayTrees,105;0;3;0.0545;0.4;0.7;0.246,-80214.75045,76550.62063,,
1460,193309.8657,SprayTrees,0.8;0.246,5396.696157,-41069.63664,,
1460,-154203.5328,RogueTrees,70;0;9;0.0545;0.4,-146675.5882,-715863.1936,,
1460,-140392.2528,RogueTrees,70;0;6;0.0545;0.4,-142976.1382,-707097.4499,,
1460,-126580.9728,RogueTrees,70;0;3;0.0545;0.4,-139276.6882,-705225.9119,,
1460,-148127.3896,RogueTrees,135;0;9;0.0545;0.4,-145319.9045,-703351.5538,,
1460,-134326.9396,RogueTrees,135;0;6;0.0545;0.4,-141614.8745,-691731.7095,,
1460,-120526.4896,RogueTrees,135;0;3;0.0545;0.4,-137909.8445,-697275.6645,,
1460,-137628.8832,RogueTrees,105;0;9;0.0545;0.4,-141104.6001,-702805.9996,,
1460,-123823.7832,RogueTrees,105;0;6;0.0545;0.4,-137402.3301,-701422.929,,
1460,-110018.6832,RogueTrees,105;0;3;0.0545;0.4,-133700.0601,-784763.6767,,
1460,-155663.8455,RogueTrees,45;0;9;0.0545;0.4,-147158.8296,-868021.7744,,
1460,-141826.4055,RogueTrees,45;0;6;0.0545;0.4,-143440.1796,-934036.1827,,
1460,-127988.9655,RogueTrees,45;0;3;0.0545;0.4,-139721.5296,-1010258.151,,
1460,95834.36232,SprayTrees,0.7;0.246,-36258.30602,26922.6568,,
1460,-28072.0667,NoAction,0;0;0;0;0;0;0,-77611.60335,-621804.9056,,
1460,6745.81257,SprayTreesOTC,0.7;0.246;0.21;0.245,6745.81257,-283984.273,,
1460,5347.604321,SprayTreesOTC,0.8;0.246;0.21;0.245,5347.604321,-284672.3072,,
1825,384284.5535,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.9;0.246,71565.72508,100470.1569,,
1825,385566.1835,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.9;0.246,71593.11508,-25672.02234,,
1825,386847.8135,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.9;0.246,71620.50508,-224257.8276,,
1825,399585.8998,SprayTrees,0.9;0.246,75007.27955,20028.35007,,
1825,-410801.8454,RogueTrees,45;0;9;0.0545;0.1,-220743.0779,-1086430.29,,
1825,-389540.6054,RogueTrees,45;0;6;0.0545;0.1,-216958.1579,-1077812.401,,
